t_ms,ref_V,surrogate_V,lin1_V,gn6_V
0.16,-60.69017791748047,-60.30967712402344,-60.689937591552734,-60.69017791748047
0.32,-60.83970642089844,-60.73582458496094,-60.839637756347656,-60.83970642089844
0.48,-60.90123748779297,-60.68500900268555,-60.90115737915039,-60.90123748779297
0.64,-58.340843200683594,-57.55705261230469,-58.33927536010742,-58.340843200683594
0.8,-56.96273422241211,-56.71554183959961,-56.9616584777832,-56.96273422241211
0.96,-54.284725189208984,-53.480464935302734,-54.28164291381836,-54.284725189208984
1.12,-52.71046447753906,-53.74433898925781,-52.70879364013672,-52.71046447753906
1.28,-51.39704513549805,-51.6121711730957,-51.39631271362305,-51.39704513549805
1.44,-49.689613342285156,-50.37582778930664,-49.689308166503906,-49.689613342285156
1.6,-43.5548095703125,-43.21504211425781,-43.55061721801758,-43.5548095703125
1.76,-33.47517776489258,-32.99330520629883,-33.4766960144043,-33.47517776489258
1.92,-10.627777099609375,-6.3207926750183105,-10.65969181060791,-10.627777099609375
2.08,24.808486938476562,30.1462345123291,24.794776916503906,24.808486938476562
2.24,34.77141189575195,35.60627746582031,34.76533508300781,34.77141189575195
2.4,29.50071144104004,28.2803897857666,29.49968910217285,29.50071144104004
2.56,21.126596450805664,20.607498168945312,21.126590728759766,21.126596450805664
2.72,12.747626304626465,12.915583610534668,12.747584342956543,12.747626304626465
2.88,4.695309162139893,5.3148603439331055,4.694479942321777,4.695309162139893
3.04,-3.7678380012512207,-2.9125125408172607,-3.7686431407928467,-3.7678380012512207
3.2,-11.745686531066895,-13.550804138183594,-11.746681213378906,-11.745686531066895
3.36,-18.872821807861328,-19.003520965576172,-18.876197814941406,-18.87282371520996
3.52,-25.89253807067871,-27.58679962158203,-25.898378372192383,-25.89253807067871
3.68,-32.823238372802734,-32.465389251708984,-32.83258819580078,-32.823238372802734
3.84,-40.262821197509766,-42.69767379760742,-40.27262878417969,-40.262821197509766
4.0,-47.638038635253906,-47.2655029296875,-47.6634635925293,-47.638038635253906
4.16,-58.73713302612305,-60.278995513916016,-58.73765182495117,-58.73713302612305
4.32,-68.57745361328125,-69.68126678466797,-68.57748413085938,-68.57745361328125
4.48,-72.17761993408203,-69.58505249023438,-72.17825317382812,-72.17761993408203
4.64,-73.69103240966797,-75.11182403564453,-73.6917495727539,-73.69103240966797
4.8,-73.43431854248047,-70.6986312866211,-73.4356918334961,-73.43431854248047
4.96,-73.85639953613281,-75.10223388671875,-73.85708618164062,-73.85639953613281
5.12,-74.57122039794922,-70.15301513671875,-74.5714111328125,-74.57122039794922
5.28,-73.62147521972656,-74.09477233886719,-73.6224136352539,-73.62147521972656
5.44,-73.07835388183594,-69.28141021728516,-73.07936096191406,-73.07835388183594
5.6000000000000005,-74.55484771728516,-70.54457092285156,-74.55486297607422,-74.55484771728516
5.76,-75.03187561035156,-67.34817504882812,-75.03189086914062,-75.03187561035156
5.92,-72.18340301513672,-70.69083404541016,-72.18549346923828,-72.18340301513672
6.08,-72.33934020996094,-66.79732513427734,-72.33988952636719,-72.33934020996094
6.24,-71.7177505493164,-69.25377655029297,-71.71867370605469,-71.7177505493164
6.4,-69.54821014404297,-72.99177551269531,-69.55101776123047,-69.54821014404297
6.5600000000000005,-71.59696960449219,-70.28884887695312,-71.5970458984375,-71.59696960449219
6.72,-70.89036560058594,-66.36212921142578,-70.8912124633789,-70.89036560058594
6.88,-69.26620483398438,-70.9194564819336,-69.26799011230469,-69.26620483398438
7.04,-67.7508316040039,-65.34980773925781,-67.75302124023438,-67.7508316040039
7.2,-68.35645294189453,-69.95346069335938,-68.35712432861328,-68.35645294189453
7.36,-68.99656677246094,-66.51121520996094,-68.99697875976562,-68.99656677246094
7.5200000000000005,-69.78739166259766,-70.2974853515625,-69.78758239746094,-69.78739166259766
7.68,-70.31395721435547,-69.73021697998047,-70.31410217285156,-70.31395721435547
7.84,-68.33796691894531,-66.39944458007812,-68.33920288085938,-68.33796691894531
8.0,-65.67828369140625,-61.264469146728516,-65.68050384521484,-65.67828369140625
8.16,-63.81013488769531,-66.20748138427734,-63.812049865722656,-63.81013488769531
8.32,-65.60257720947266,-60.77244186401367,-65.60269927978516,-65.60257720947266
8.48,-65.29792785644531,-59.013916015625,-65.29844665527344,-65.29792785644531
8.64,-66.7569351196289,-55.41157150268555,-66.75698852539062,-66.7569351196289
8.8,-66.74906921386719,-52.52985763549805,-66.74930572509766,-66.74906921386719
8.96,-64.6285629272461,-49.86091995239258,-64.62955474853516,-64.6285629272461
9.120000000000001,-65.87519836425781,-46.86920166015625,-65.87525177001953,-65.87519836425781
9.28,-64.60209655761719,-42.80891418457031,-64.60258483886719,-64.60209655761719
