t_ms,ref_V,surrogate_V,lin1_V,gn6_V
0.16,-64.63664245605469,-65.3517837524414,-64.63642120361328,-64.63664245605469
0.32,-59.93487548828125,-61.76306915283203,-59.93258285522461,-59.93487548828125
0.48,-57.40702438354492,-58.33845901489258,-57.40558624267578,-57.40702438354492
0.64,-54.48576736450195,-55.22978591918945,-54.483219146728516,-54.48577117919922
0.8,-50.64647674560547,-51.67680740356445,-50.642086029052734,-50.64647674560547
0.96,-43.84929275512695,-45.18149948120117,-43.83881378173828,-43.84929275512695
1.12,-30.587141036987305,-31.338520050048828,-30.581926345825195,-30.587141036987305
1.28,1.8431997299194336,6.403807163238525,1.8418240547180176,1.8431992530822754
1.44,41.66738510131836,43.13653564453125,41.65418243408203,41.667381286621094
1.6,41.183990478515625,41.070980072021484,41.18397903442383,41.183990478515625
1.76,36.6661376953125,36.50613784790039,36.66592788696289,36.6661376953125
1.92,30.262426376342773,29.468215942382812,30.261978149414062,30.262426376342773
2.08,22.700241088867188,21.80420684814453,22.69945526123047,22.700241088867188
2.24,14.63364315032959,13.712427139282227,14.632433891296387,14.63364315032959
2.4,6.358497619628906,5.588030815124512,6.3571391105651855,6.358497619628906
2.56,-1.9683167934417725,-2.1485795974731445,-1.969016432762146,-1.9683167934417725
2.72,-10.082137107849121,-7.495673179626465,-10.082194328308105,-10.082137107849121
2.88,-16.904508590698242,-14.585314750671387,-16.90582847595215,-16.904508590698242
3.04,-24.358671188354492,-24.36151885986328,-24.358978271484375,-24.358671188354492
3.2,-30.599899291992188,-29.357778549194336,-30.60546875,-30.599899291992188
3.36,-37.27172088623047,-38.56515121459961,-37.285430908203125,-37.27172088623047
3.52,-46.313114166259766,-46.09292984008789,-46.31438446044922,-46.313114166259766
3.68,-54.4443359375,-55.9705696105957,-54.46453857421875,-54.4443359375
3.84,-64.68212890625,-66.33638763427734,-64.68556213378906,-64.68212890625
4.0,-70.58145141601562,-68.86520385742188,-70.58231353759766,-70.58145141601562
4.16,-74.291259765625,-75.14080047607422,-74.29141235351562,-74.291259765625
4.32,-75.03047180175781,-76.44036865234375,-75.03068542480469,-75.03047180175781
4.48,-73.75169372558594,-76.70988464355469,-73.75318908691406,-73.75169372558594
4.64,-72.70530700683594,-76.76116180419922,-72.70768737792969,-72.70530700683594
4.8,-72.03844451904297,-70.69851684570312,-72.04113006591797,-72.03843688964844
4.96,-71.48335266113281,-74.79100036621094,-71.48626708984375,-71.48336029052734
5.12,-71.80306243896484,-76.04595947265625,-71.80482482910156,-71.80306243896484
5.28,-72.7233657836914,-69.76615905761719,-72.7240219116211,-72.7233657836914
5.44,-74.195556640625,-70.74185180664062,-74.19558715820312,-74.195556640625
5.6000000000000005,-71.91166687011719,-74.12909698486328,-71.91378784179688,-71.91166687011719
5.76,-72.1997299194336,-68.29452514648438,-72.20037841796875,-72.1997299194336
5.92,-72.21147155761719,-69.7281494140625,-72.2120590209961,-72.21147155761719
6.08,-71.10527038574219,-73.18389129638672,-71.10662841796875,-71.10527038574219
6.24,-71.54204559326172,-69.687255859375,-71.54249572753906,-71.54204559326172
6.4,-71.11076354980469,-65.0830078125,-71.11149597167969,-71.11076354980469
6.5600000000000005,-69.37258911132812,-67.32905578613281,-69.37452697753906,-69.37258911132812
6.72,-71.0956802368164,-63.273433685302734,-71.09574127197266,-71.0956802368164
6.88,-71.68415069580078,-60.67184066772461,-71.68429565429688,-71.68415832519531
7.04,-72.16834259033203,-58.85028839111328,-72.16841125488281,-72.16834259033203
7.2,-69.39530181884766,-57.44434356689453,-69.39701843261719,-69.39530181884766
7.36,-70.71062469482422,-56.24782180786133,-70.71065521240234,-70.71062469482422
7.5200000000000005,-69.2696533203125,-55.13907241821289,-69.27046966552734,-69.2696533203125
7.68,-67.41402435302734,-54.039363861083984,-67.41532135009766,-67.41402435302734
7.84,-67.25115203857422,-52.886661529541016,-67.25166320800781,-67.25115203857422
8.0,-68.02925109863281,-51.61631393432617,-68.02940368652344,-68.02925109863281
8.16,-68.92294311523438,-50.141483306884766,-68.92301177978516,-68.92294311523438
8.32,-68.12642669677734,-48.3241081237793,-68.12680053710938,-68.12642669677734
8.48,-66.4026107788086,-45.918373107910156,-66.40338897705078,-66.4026107788086
8.64,-65.57221221923828,-42.44529342651367,-65.57270050048828,-65.57220458984375
8.8,-66.90213775634766,-36.903480529785156,-66.90217590332031,-66.90213775634766
8.96,-63.81372833251953,-27.230974197387695,-63.81485366821289,-63.81372833251953
9.120000000000001,-64.83834075927734,-18.20010757446289,-64.83837890625,-64.83834075927734
9.28,-65.88313293457031,-2.5558159351348877,-65.88314819335938,-65.88313293457031
9.44,-63.079505920410156,7.267577648162842,-63.0800895690918,-63.079505920410156
9.6,-60.959659576416016,6.9514617919921875,-60.95978927612305,-60.959659576416016
9.76,-59.1023063659668,1.5032958984375,-59.10176467895508,-59.1023063659668
9.92,-58.1599006652832,-5.675405025482178,-58.15892791748047,-58.1599006652832
10.08,-56.82047653198242,-13.240766525268555,-56.81866455078125,-56.820472717285156
10.24,-55.51371765136719,-20.710186004638672,-55.511253356933594,-55.51371765136719
10.4,-56.568580627441406,-27.996932983398438,-56.568115234375,-56.568580627441406
10.56,-56.10027313232422,-35.29254150390625,-56.09891891479492,-56.10027313232422
10.72,-55.28498077392578,-43.09660339355469,-55.283206939697266,-55.28498077392578
10.88,-54.07851791381836,-52.14553451538086,-54.0761604309082,-54.07851791381836
11.040000000000001,-54.9763298034668,-56.683292388916016,-54.97602081298828,-54.9763298034668
11.200000000000001,-54.17601776123047,-62.83324432373047,-54.17464065551758,-54.17601776123047
11.36,-55.249420166015625,-72.36430358886719,-55.24931335449219,-55.249420166015625
11.52,-53.843570709228516,-69.67906188964844,-53.84176254272461,-53.843570709228516
11.68,-50.843135833740234,-74.69009399414062,-50.83846664428711,-50.843135833740234
11.84,-48.0914421081543,-69.87621307373047,-48.087738037109375,-48.0914421081543
12.0,-44.01308059692383,-74.38520050048828,-44.0108642578125,-44.01308059692383
12.16,-37.47972869873047,-69.23975372314453,-37.48283767700195,-37.4797248840332
12.32,-23.388437271118164,-73.76072692871094,-23.410852432250977,-23.388444900512695
12.48,1.0493769645690918,-68.4783706665039,1.0458424091339111,1.0493764877319336
12.64,24.786779403686523,-73.03841400146484,24.768491744995117,24.786779403686523
12.8,25.334604263305664,-67.65998840332031,25.332252502441406,25.334606170654297
