V1,V2,V3
-63.764324,-58.607388,-69.381584
-58.70043,-60.562637,-69.081
-53.928726,-62.23783,-68.77844
-48.837547,-63.71504,-68.47342
-41.824474,-64.99136,-68.165665
-27.87084,-66.05619,-67.85497
7.7339597,-66.914825,-67.54118
39.94532,-67.586945,-67.22408
38.982613,-68.09893,-66.90343
33.25512,-68.47779,-66.578896
25.91299,-68.74802,-66.25013
17.800127,-68.93045,-65.91666
9.497586,-69.042274,-65.5779
1.3551499,-69.097374,-65.23316
-6.457719,-69.10691,-64.88159
-13.891479,-69.07979,-64.52215
-20.97539,-69.02317,-64.15355
-27.815784,-68.94281,-63.77421
-34.64492,-68.84332,-63.382156
-41.895885,-68.72849,-62.974915
-50.16026,-68.601364,-62.54934
-59.461773,-68.46445,-62.101383
-67.47022,-68.31982,-61.625755
-71.388626,-68.169205,-61.115406
-72.39618,-68.01403,-60.560753
-72.41262,-67.85549,-59.9484
-72.164276,-67.69459,-59.259068
-71.83744,-67.5322,-58.463924
-71.47724,-67.36905,-57.517902
-71.09523,-67.20575,-56.34645
-70.69485,-67.04282,-54.817028
-70.27745,-66.88073,-52.670715
-69.84389,-66.71986,-49.33246
-69.39498,-66.56054,-43.275543
-68.93157,-66.403076,-29.385283
-68.45466,-66.24772,8.779457
-67.96532,-66.09467,41.622303
-67.46471,-65.94412,40.486652
-66.954124,-65.79625,35.36167
-66.43489,-65.651184,28.599949
-65.90836,-65.509056,20.919413
-65.37592,-65.36999,12.870292
-64.83892,-65.23406,4.822591
-64.29863,-65.10138,-3.0166323
-63.756214,-64.97201,-10.562643
-63.212692,-64.84601,-17.816519
-62.668896,-64.72349,-24.855421
-62.125404,-64.60449,-31.873594
-61.582542,-64.48908,-39.285736
-61.040302,-64.377304,-47.82298
-60.498318,-64.269226,-58.114162
-59.95579,-64.1649,-68.29906
-59.411446,-64.0644,-73.87805
-58.86343,-63.96777,-75.4485
-58.309223,-63.875057,-75.72547
-57.745434,-63.786324,-75.705154
-57.167595,-63.70163,-75.6128
-56.56978,-63.621025,-75.49681
-55.944042,-63.54457,-75.36812
-55.279545,-63.472324,-75.22925
-54.56114,-63.404335,-75.08067
-53.76701,-63.340656,-74.92235
-52.86457,-63.281334,-74.75406
-51.803036,-63.22642,-74.57558
-50.499138,-63.175964,-74.3867
-48.80779,-63.129982,-74.18723
-46.457233,-63.08851,-73.977066
-42.893982,-63.051567,-73.75608
-36.89411,-63.01916,-73.52425
-25.73433,-59.842056,-73.28156
-5.834229,-56.858776,-73.02808
14.175713,-53.80658,-72.76392
18.228048,-50.22122,-72.48924
13.118262,-45.08368,-72.20426
5.4370136,-35.562912,-71.90927
-2.762744,-12.30909,-71.60457
-10.774566,30.149723,-71.290535
-18.373299,39.430153,-70.967606
-25.556402,34.886086,-70.63624
-32.477745,27.986021,-70.29695
-39.470936,19.993496,-69.950264
-47.03672,11.625448,-69.59673
-55.487095,3.326128,-69.23694
-63.758144,-4.6766567,-68.871475
-69.20873,-12.302569,-68.50093
-71.30719,-19.565678,-68.125916
-71.733795,-26.560663,-67.74698
-71.6038,-33.505127,-67.36467
-71.29963,-40.825424,-66.97949
-70.931816,-49.169754,-66.59193
-70.53255,-58.808582,-66.20237
-70.11199,-67.63111,-65.81118
-69.67393,-72.2452,-65.4186
-69.220215,-73.53809,-65.024826
-68.75216,-73.68605,-64.62992
-68.27094,-73.53734,-64.23385
-67.77777,-73.30611,-63.83644
-67.27392,-73.04314,-63.437393
-66.76073,-72.76113,-63.036217
-66.23958,-72.46351,-62.63224
-65.711876,-72.151375,-62.22457
-65.179054,-71.82521,-61.812046
-64.64249,-71.48537,-61.393158
-64.10344,-71.13223,-60.96601
-63.56314,-70.76625,-60.528194
-63.022614,-70.38798,-60.076595
-62.482697,-69.998024,-59.607227
-61.94401,-69.597115,-59.114864
-61.406887,-69.18606,-58.592533
-60.87136,-68.76573,-58.03076
-60.33712,-68.33708,-57.416325
-59.803455,-67.9011,-56.730217
-59.26921,-67.45882,-55.944107
-58.73273,-67.0113,-55.01392
-58.19175,-66.5596,-53.867332
-57.643257,-66.10473,-52.377666
-57.083317,-65.64771,-50.3037
-56.506783,-65.18945,-47.13378
-55.90683,-64.73082,-41.62146
-55.274315,-64.272545,-30.240051
-54.596676,-63.815266,-3.9101372
